Yr,timing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1980,B,1.15E+07,697352,68780.3,2.16E+06,67950.5,358310,70205.3,666670,51951.4,64091.1,396848,33641.5,71675.9,79753.4,20341,20927.3,8393.24,4379.97,2547.69,1524.19,6714.07
1981,B,187027,9.39E+06,571093,55929.3,1.73E+06,54079.3,283322,54325.7,515878,40200.7,49594.5,307086,26032.2,55463.7,61714.2,15740.1,16193.8,6494.79,3389.28,1971.43,6374.87
1982,B,191830,153268,7.69E+06,462190,44413,1.36E+06,41836.6,211681,40588.9,385432,30035.5,37054,229436,19449.7,41439.1,46109,11760,12099,4852.51,2532.26,6235.85
1983,B,354693,157204,125496,6.24E+06,369579,35082.7,1.06E+06,31901.5,161412,30950.1,293902,22902.8,28254.6,174951,14830.9,31598.4,35159.3,8967.34,9225.8,3700.17,6685.91
1984,B,9.53E+06,290670,128738,102014,5.01E+06,293757,27697,820004,24623.8,124589,23889.4,226854,17678,21808.8,135039,11447.5,24389.8,27138.4,6921.6,7121.1,8016.68
1985,B,101068,7.81E+06,238022,104577,81770.4,3.97E+06,231182,21270.2,629730,18910,95679.1,18346.1,174214,13576,16748.3,103704,8791.19,18730.4,20841.2,5315.51,11625.2
1986,B,143190,82824.6,6.40E+06,193679,84184,65242.7,3.15E+06,179780,16540.8,489712,14705.5,74405.3,14266.9,135479,10557.4,13024.4,80646.1,6836.51,14565.7,16207.2,13174
1987,B,4.59E+06,117344,67812.1,5.19E+06,154540,66285.6,50918.2,2.39E+06,136227,12533.7,371077,11143,56380.2,10810.7,102658,7999.82,9869.16,61109.2,5180.33,11037.1,22263.5
1988,B,1.61E+06,3.76E+06,96056.2,54866.3,4.12E+06,120690,51217.1,37968.5,1.78E+06,101581,9346.13,276703,8309.08,42041.4,8061.26,76549.9,5965.28,7359.2,45567.7,3862.85,24831.5
1989,B,116566,1.32E+06,3.08E+06,77660.3,43457.9,3.21E+06,92933.1,37980.7,28156.1,1.32E+06,75329.1,6930.75,205193,6161.71,31176.4,5977.94,56766.6,4423.64,5457.32,33791.4,21278.7
